"","V1","V2"
"210",92,0.2886406927
"211",92,0.2637456345
"212",74,0.1871502326
"213",92,0.3901391586
"214",74,0.2922825553
"215",92,0.271844394
"216",6,0.2702891231
"217",12,0.2856965509
"218",12,0.3076483566
"219",6,0.2476320283
"220",92,0.4156865353
"221",21,0.3038407827
"222",92,0.3878710896
"223",15,0.3541017943
"224",92,0.2476438348
"225",32,0.2473234465
"226",92,0.3474675646
"227",92,0.271844394
"228",94,0.1989114531
"229",92,0.271844394
"230",92,0.4240750346
"231",55,0.3135034442
"232",92,0.3427834576
"233",92,0.4120971767
"234",27,0.2995294532
"235",26,0.4313458541
"236",92,0.6056938425
"237",59,0.1772725284
"238",55,0.201020586
"239",92,0.3302167777
"240",51,0.2248219237
"241",15,0.1613155681
"242",92,0.2056744282
"243",9,0.348752455
"244",55,0.2405819775
"245",92,0.2243470515
"246",55,0.3178694411
"247",92,0.273969064
"248",92,0.3808393067
"249",92,0.1905600611
"250",55,0.2545987933
"251",50,0.1763016446
"252",26,0.3709141744
"253",92,0.3290349015
"254",55,0.3108916329
"255",92,0.3543165778
"256",76,0.1594553348
"257",73,0.3379088216
"258",35,0.2683983891
"259",76,0.3235178364
"260",26,0.3453658009
"261",16,0.1898809101
"262",54,0.1930279583
"263",92,0.2921097772
"264",92,0.4188951558
"265",15,0.188605748
"266",92,0.4824951658
"267",92,0.181916624
"268",92,0.444212838
"269",15,0.2413174465
"270",92,0.3916181009
"271",30,0.3212712943
"272",15,0.3578300616
"273",94,0.2617602251
"274",92,0.3852078206
"275",55,0.24127252
"276",74,0.1954790756
"277",61,0.1519868999
"278",15,0.188605748
"279",8,0.2075919299
"280",92,0.2912414034
"281",66,0.2477369483
"282",92,0.2956294579
"283",62,0.312056265
"284",92,0.3916181009
"285",92,0.1947641551
"286",92,0.3029958293
"287",71,0.298374156
"288",98,0.2274261918
"289",55,0.2011326046
"290",4,0.1396713785
"291",92,0.3954564685
"292",27,0.2472044814
"293",92,0.366877473
"294",92,0.4586830702
"295",92,0.2574409695
"296",92,0.2376602738
"297",92,0.2716049211
"298",15,0.2761146926
"299",55,0.2376506273
"300",88,0.2126809132
"301",92,0.5428459334
"302",4,0.2381337407
"303",92,0.2521186247
"304",92,0.4176734945
"305",92,0.2478104827
"306",62,0.2095443764
"307",36,0.3504132441
"308",27,0.2722641137
"309",92,0.2616922981
"310",92,0.3290349015
"311",40,0.3046746287
"312",92,0.3157053657
"313",89,0.3160319781
"314",68,0.1883286533
"315",55,0.4231967096
"316",92,0.4267767955
"317",15,0.2225030775
"318",15,0.2426829451
"319",92,0.3116317994
"320",92,0.3924006611
"321",92,0.1748593471
"322",92,0.2772216652
"323",92,0.2856974402
"324",15,0.3569263784
"325",74,0.3272816946
"326",61,0.45469179
"327",92,0.366877473
"328",9,0.2766867973
"329",2,0.2467778975
"330",92,0.1617367564
"331",73,0.3558125176
"332",1,0.157770336
"333",45,0.2624274706
"334",6,0.2416727943
"335",92,0.2580803058
"336",73,0.1849483747
"337",37,0.1904465893
"338",37,0.2896717609
"339",21,0.3219539381
"340",92,0.3427834576
"341",71,0.1882967549
"342",74,0.1334272542
"343",92,0.2051898844
"344",92,0.4218685158
"345",21,0.2433011801
"346",76,0.2208606087
"347",48,0.3207558325
"348",41,0.223838276
"349",68,0.2292882958
"350",95,0.2229407186
"351",92,0.2702715632
"352",100,0.3710704233
"353",86,0.2485425828
"354",92,0.5792256076
"355",92,0.4634659056
"356",54,0.3117975697
"357",92,0.2479551143
"358",92,0.2988165666
"359",73,0.2127939105
"360",92,0.2736818199
"361",75,0.3650190598
"362",72,0.2070980204
"363",37,0.2061487489
"364",92,0.3290349015
"365",92,0.258839834
"366",9,0.2725456448
"367",21,0.2486465777
"368",92,0.4142747162
"369",92,0.2366000309
"370",55,0.2230844102
"371",92,0.3447362164
"372",15,0.2830426802
"373",92,0.3803893384
"374",92,0.6537902431
"375",20,0.2811374865
"376",92,0.3092361743
"377",15,0.1979071324
"378",15,0.3364196851
"379",92,0.4474758993
"380",74,0.2074245667
"381",94,0.2346026878
"382",68,0.1803513923
"383",92,0.3690677925
"384",58,0.2366537396
"385",61,0.1897726494
"386",92,0.1721592064
"387",9,0.2307671475
"388",92,0.2456634715
"389",15,0.4000810078
"390",92,0.3076492458
"391",10,0.3254805954
"392",92,0.4354672311
"393",15,0.3386950329
"394",55,0.24127252
"395",71,0.3032227783
"396",62,0.4659124874
"397",55,0.3976805202
"398",92,0.3372634091
"399",40,0.2307738744
"400",92,0.2528969168
"401",92,0.4310327895
"402",55,0.2056469259
"403",15,0.3496503547
"404",37,0.2150050124
"405",94,0.3814138265
"406",92,0.4759789295
"407",92,0.3771420569
"408",92,0.2905806526
"409",92,0.220234692
"410",92,0.3098006698
"411",92,0.4595353409
"412",92,0.4084422297
"413",92,0.2254227831
"414",13,0.2290098625
"415",73,0.2674432685
"416",12,0.2342700457
"417",92,0.3594432864
"418",92,0.2716049211
"419",92,0.2376602738
"420",92,0.3410267749
"421",55,0.2150579967
"422",15,0.3429972341
"423",92,0.2752257349
"424",92,0.3853931602
"425",71,0.3629971884
"426",50,0.2977232206
"427",76,0.5084635703
"428",57,0.372960152
"429",55,0.468167604
"430",91,0.5589262769
"431",57,0.5479860655
"432",3,0.3976958344
"433",88,0.3128455311
"434",68,0.2012263628
"435",55,0.4429063437
"436",91,0.3631305149
"437",99,0.2474973944
"438",61,0.3595426409
"439",30,0.2627759347
"440",55,0.3299284391
"441",14,0.2070715095
"442",68,0.234760856
"443",55,0.1773577557
"444",95,0.2470428894
"445",55,0.2502374646
"446",57,0.4686280502
"447",14,0.313297312
"448",75,0.3552212711
"449",91,0.6938475614
"450",76,0.2902502921
"451",55,0.2715986446
"452",73,0.4221881717
"453",61,0.4878267636
"454",14,0.2737681353
"455",91,0.7554540171
"456",43,0.2514124754
"457",91,0.6648403034
"458",89,0.304878881
"459",91,0.6938475614
"460",68,0.3297996195
"461",91,0.6648403034
"462",91,0.5914674225
"463",14,0.5178314253
"464",41,0.1722596817
"465",68,0.2828079102
"466",14,0.3589414453
"467",91,0.7015582683
"468",55,0.6204629004
"469",14,0.2532936454
"470",76,0.260926513
"471",91,0.7415232173
"472",91,0.7182337466
"473",55,0.2729303078
"474",14,0.2627189259
"475",41,0.3814532711
"476",91,0.7554540171
"477",16,0.2266332848
"478",91,0.6938475614
"479",88,0.1891306384
"480",91,0.7182337466
"481",76,0.2384364006
"482",55,0.2092891433
"483",68,0.3582370822
"484",55,0.2232966885
"485",91,0.6385800117
"486",14,0.4915324392
"487",73,0.1896849908
"488",68,0.3163215667
"489",57,0.4686280502
"490",76,0.2258177153
"491",55,0.272980435
"492",55,0.1469773883
"493",91,0.7863165015
"494",94,0.2723494409
"495",24,0.2715510921
"496",18,0.1688373805
"497",56,0.1583985626
"498",50,0.2044027727
"499",71,0.2202856534
"500",68,0.239294844
"501",74,0.2019634636
"502",26,0.2888207457
"503",42,0.1993777744
"504",9,0.1370094208
"505",86,0.2626170797
"506",74,0.1641329374
"507",73,0.2752639491
"508",88,0.2998473648
"509",62,0.2511536486
"510",73,0.2422524692
"511",42,0.238845811
"512",43,0.3203284453
"513",67,0.1455816181
"514",32,0.1782157783
"515",86,0.2353132752
"516",50,0.2954631026
"517",50,0.261266226
"518",89,0.2671722373
"519",24,0.4371300356
"520",30,0.3394259993
"521",43,0.2237149934
"522",26,0.4001900766
"523",89,0.3352126076
"524",56,0.1257504962
"525",50,0.297662686
"526",20,0.1811244575
"527",50,0.2899775434
"528",10,0.3657248713
"529",22,0.3868088691
"530",41,0.2676034081
"531",40,0.3917033545
"532",95,0.1426346293
"533",9,0.1460969378
"534",10,0.2075040958
"535",68,0.2507111987
"536",16,0.2656865064
"537",22,0.6164100886
"538",50,0.2673190848
"539",50,0.2744658385
"540",23,0.2492553553
"541",26,0.4002208817
"542",71,0.5840240587
"543",68,0.3358032984
"544",50,0.2252484248
"545",86,0.1810288533
"546",23,0.2492042447
"547",74,0.3074536044
"548",56,0.2300725402
"549",73,0.2523299698
"550",62,0.2635127902
"551",6,0.4793382094
"552",50,0.4416735768
"553",26,0.3465225064
"554",62,0.2305861126
"555",88,0.3351840195
"556",30,0.2634493197
"557",50,0.2380334449
"558",26,0.3806974873
"559",49,0.1263394446
"560",21,0.2203628781
"561",50,0.3779529514
"562",71,0.1860755813
"563",10,0.2489066112
"564",64,0.2238366839
"565",50,0.1545948441
"566",50,0.1957137595
"567",100,0.1822610136
"568",86,0.2401543127
"569",41,0.237263026
"570",50,0.2915998994
"571",16,0.1645727713
"572",81,0.2356405864
"573",74,0.2994897386
"574",57,0.1929207311
"575",66,0.5136088347
"576",73,0.323020128
"577",24,0.3077895936
